fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
0.3;0.1;0.4;0.4;0.2;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.1;0.4;0.4;0.2;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.2;0.4;0.4;0.2;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.2;0.4;0.4;0.2;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.2;0.4;0.4;0.2;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.2;0.4;0.4;0.2;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.3;0.4;0.4;0.2;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.3;0.4;0.4;0.2;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.3;0.4;0.4;0.2;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.3;0.4;0.4;0.2;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.4;0.4;0.4;0.2;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.4;0.4;0.4;0.2;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.4;0.4;0.4;0.2;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.4;0.4;0.4;0.2;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.1;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.1;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.1;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.1;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.2;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.2;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.2;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.2;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.3;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.3;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.3;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.3;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.4;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.4;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.4;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.4;0.1;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.1;0.2;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.1;0.2;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.1;0.2;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.1;0.2;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.2;0.2;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.2;0.2;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.2;0.2;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.2;0.2;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.3;0.2;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.3;0.2;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.3;0.2;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.3;0.2;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.4;0.2;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.4;0.2;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.4;0.2;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.4;0.2;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.1;0.3;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.1;0.3;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.1;0.3;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.1;0.3;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.2;0.3;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.2;0.3;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.2;0.3;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.2;0.3;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.3;0.3;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.3;0.3;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.3;0.3;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.3;0.3;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.4;0.3;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.4;0.3;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.4;0.3;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.4;0.3;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.1;0.4;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.1;0.4;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.1;0.4;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.1;0.4;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.2;0.4;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.2;0.4;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.2;0.4;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.2;0.4;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.3;0.4;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.3;0.4;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.3;0.4;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.3;0.4;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.4;0.4;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.4;0.4;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.4;0.4;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.4;0.4;0.1;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.1;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.1;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.1;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.1;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.2;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.2;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.2;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.2;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.3;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.3;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.3;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.3;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.4;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.4;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.4;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.4;0.1;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.1;0.2;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.1;0.2;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.1;0.2;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.1;0.2;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.2;0.2;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.2;0.2;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.2;0.2;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.2;0.2;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.3;0.2;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.3;0.2;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.3;0.2;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.3;0.2;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.4;0.2;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.4;0.2;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.4;0.2;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.4;0.2;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.1;0.3;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.1;0.3;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.1;0.3;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.1;0.3;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.2;0.3;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.2;0.3;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.2;0.3;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.2;0.3;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.3;0.3;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.3;0.3;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.3;0.3;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.3;0.3;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.4;0.3;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.4;0.3;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.4;0.3;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.4;0.3;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.1;0.4;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.1;0.4;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.1;0.4;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.1;0.4;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.2;0.4;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.2;0.4;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.2;0.4;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.2;0.4;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.3;0.4;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.3;0.4;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.3;0.4;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.3;0.4;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.4;0.4;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.4;0.4;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.4;0.4;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.4;0.4;0.2;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.1;0.1;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.1;0.1;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.1;0.1;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.1;0.1;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.2;0.1;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.2;0.1;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.2;0.1;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.2;0.1;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.3;0.1;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.3;0.1;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.3;0.1;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.3;0.1;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.4;0.1;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.4;0.1;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.4;0.1;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.4;0.1;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.1;0.2;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.1;0.2;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.1;0.2;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.1;0.2;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.2;0.2;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.2;0.2;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.2;0.2;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.2;0.2;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.3;0.2;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.3;0.2;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.3;0.2;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.3;0.2;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.4;0.2;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.4;0.2;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.4;0.2;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.4;0.2;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.1;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.1;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.1;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.1;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.2;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.2;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.2;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.2;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.3;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.3;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.3;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.3;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.4;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.4;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.4;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.4;0.3;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.1;0.4;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.1;0.4;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.1;0.4;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.1;0.4;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.2;0.4;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.2;0.4;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.2;0.4;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.2;0.4;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.3;0.4;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.3;0.4;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.3;0.4;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.3;0.4;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.4;0.4;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.4;0.4;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.4;0.4;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.4;0.4;0.3;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.1;0.1;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.1;0.1;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.1;0.1;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.1;0.1;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.2;0.1;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.2;0.1;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.2;0.1;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.2;0.1;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.3;0.1;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.3;0.1;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.3;0.1;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.3;0.1;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.4;0.1;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.4;0.1;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.4;0.1;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.4;0.1;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.1;0.2;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.1;0.2;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.1;0.2;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.1;0.2;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.2;0.2;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.2;0.2;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.2;0.2;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.2;0.2;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.3;0.2;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.3;0.2;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.3;0.2;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.3;0.2;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.4;0.2;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.4;0.2;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.4;0.2;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.4;0.2;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.1;0.3;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.1;0.3;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.1;0.3;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.1;0.3;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.2;0.3;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.2;0.3;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.2;0.3;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.2;0.3;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.3;0.3;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.2;0.3;0.3;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.3;0.3;0.3;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.4;0.3;0.3;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
0.1;0.4;0.3;0.4;0.3;0.1;0.1;0.1;0.1;0.1;0.1;3
